Day,Cash On Hand
11,155500
12,182300
13,278279
14,204334
15,174443
16,335871
17,714807
18,318257
19,632332
20,334073
21,227823
22,249024
23,620839
24,201086
25,311945
26,411864
27,963064
28,717304
29,160354
30,417482
31,518377
32,279856
33,744359
34,1411560
35,2278755
36,1711855
37,2370168
38,2422332
39,2020949
40,1825250
41,755396
42,1220560
43,991924
44,1995810
45,2703534
46,2880911
47,2733195
48,2003736
49,2877272
50,4514891
51,1988703
52,3659697
53,3971797
54,6177786
55,6447788
56,5595416
57,4171393
58,5193407
59,6305201
60,6556726
61,6763291
62,6085925
63,7105566
64,7547976
65,8394936
66,8743494
67,8475359
68,8218047
69,8412576
70,8842586
71,9927405
72,9936540
73,10022729
74,10908746
75,10675413
76,10978315
77,10310887
78,11587087
79,10473521
80,10996486
81,11281350
82,9788832
83,9848698
84,11352816
85,12358736
86,12423218
87,12442025
88,12751967
89,11721598
90,12394353
